Word,Definition
unladen,to take the load or cargo from
devcontainer,"A containerized development environment, defined by configuration files, that includes all necessary tools, libraries, and dependencies for a specific software project."
poignant,"Of a weapon, etc.: sharp-pointed; keen."
prosocial,intended to help or benefit another person or group; also : relating to or promoting behavior that benefits others or society
stratification,the act or process of stratifying
parasitology,A study of parasites.
disanalogies,Points of unlikeness that weaken an analogy.
§,country and western
zenith,The point in the sky vertically above a given position or observer; the point in the celestial sphere opposite the nadir.
heritability,the quality or state of being heritable
shorthand,"a method of writing rapidly by substituting characters, abbreviations, or symbols for letters, sounds, words, or phrases : stenography"
pileated,having a crest covering the pileum
katydids,any of various large green American long-horned grasshoppers usually having stridulating organs on the forewings of the males that produce a loud shrill sound
encoded,To convert (plain text) into code.
syllogism,"An argument whose conclusion is supported by two premises, of which one contains the term that is the predicate of the conclusion, and the other contains the term that is the subject of the conclusion; common to both premises is a term that is excluded from the conclusion."
dynamometer,an instrument for measuring mechanical force
stifle,"A hind knee of various mammals, especially horses."
somatically,"of, relating to, or affecting the body especially as distinguished from the germplasm"
obfuscationalization,"The systematic or extensive process of making something obscure, unclear, or unintelligible."
polysyllabismic,Characterized by or relating to the use of words with many syllables.
nonmonotonic,(Logic) Pertaining to a system or form of reasoning in which the addition of new information can invalidate or retract previous conclusions.
belaboring,to attack verbally
promiscuously,having or involving many sexual partners : not restricted to one sexual partner or few sexual partners
propensity,"An inclination, disposition, tendency, preference, or attraction."
obfuscate,To make dark; overshadow
exacerbating,to make (something bad or unpleasant) worse
quasi-goals,Objectives that appear to be goals but are not the ultimate or fundamental aim; often serving as proxies or intermediate steps.
exfiltrate,to remove (someone) furtively from a hostile area
doggerel,loosely styled and irregular in measure especially for burlesque or comic effect; also : marked by triviality or inferiority
endorheic,Of or relating to an area where water collects internally and does not flow to the sea.
Worked,"that has been subjected to some process of development, treatment, or manufacture"
Nexus,A form of connection.
Instauratio Magna,"Latin for ""Great Instauration,"" the title of Francis Bacon's comprehensive, unfinished philosophical work proposing a new, empirical approach to scientific knowledge."
holistic,"relating to or concerned with complete systems rather than with individual parts; especially : concerned with the whole person, animal, or organism as opposed to a specific part or aspect"
dyadic,a mathematical expression formed by addition or subtraction of dyads
extrapolate,to predict by projecting past experience or known data
esoteric,designed for or understood by the specially initiated alone
gestalt,something that is made of many parts and yet is somehow more than or different from the combination of its parts; broadly : the general quality or character of something
